danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song,track_id,artist,event,type,popularity
0.0547,0.617,5,-25.149,0,0.405,0.00596,0.974,0.906,1e-05,57.167,188222,4,Mindful Measures,3rsXIGQjD96knIRVdayTBe,Light Rain and Thunder,Rain,Weather,60
0.19,0.969,1,-19.798,1,0.0534,0.215,0.974,0.137,0.024,78.062,158250,4,Isamu,32zxBVySWOXGscXkoYyfo3,Sonic Thunder,Rain,Weather,60
0.0957,0.492,1,-31.627,1,0.0648,0.324,0.965,0.273,0.0321,88.597,192000,3,Ogień,390qr10wt5OInQ92Vd7ADt,Rain & Thunder,Rain,Weather,60
0.142,0.537,1,-25.143,1,0.101,9.66e-06,0.813,0.142,0.0902,140.249,167047,4,Atmospheric Force,0DhLvC2rnUUEffwwHYoCt6,Storm During Night,Rain,Weather,60
0.0707,0.816,1,-23.877,1,0.0751,0.000758,0.878,0.486,0.0219,177.026,216000,4,Polar Night,17T1PhUwVor4Q4ZdqhkVL7,Lightning,Rain,Weather,60
0.151,0.549,1,-24.57,1,0.0683,0.000386,0.901,0.599,0.0365,100.886,159667,4,Pluie et tonnerre,4ec1aLY4vwvkoBUCXhd5r9,Légère pluie d'orage,Rain,Weather,60
0.232,0.587,1,-29.416,1,0.11,0.0167,0.947,0.0928,0.118,119.349,156008,3,Skyyy,1OMb4pb98GL1SJBJqM3Mq3,Storm Through The Night,Rain,Weather,60
0.151,0.698,5,-21.274,1,0.0549,0.199,0.964,0.354,0.0251,74.846,159753,4,Zhock Wave,4FhNfshbuUPgY5ckqdgvYG,Light Thunder,Rain,Weather,60
0.165,0.55,2,-20.38,1,0.0772,0.0423,0.706,0.415,0.00922,115.406,154552,3,Weather Watcher,3D97oOZdpxItVqFoAwBfYC,Thunderstorm In the Forest,Rain,Weather,60
0.0573,0.607,0,-23.21,0,0.0794,0.011,0.886,0.409,0.0351,57.346,129667,3,Tonerre,1SAvBx0Uzm0UQz6u5J85M9,Pluie légère et tonnerre,Rain,Weather,60
0.19,0.69,5,-24.35,0,0.0629,0.00393,0.943,0.377,0.0223,86.059,161239,3,Natural Dream Makers,400VRhKLp9MZhyJgeAN6OA,Rain Morning,Rain,Weather,60
0.189,0.628,7,-27.797,1,0.0657,8.43e-05,0.415,0.388,0.0319,86.306,180000,3,Oluja,5aHIVNM8mZbJQgkTCEbHLu,Rumbling,Rain,Weather,60
0.167,0.633,6,-23.77,0,0.105,0.00482,0.975,0.394,0.0222,116.279,130034,4,The Noisy Outdoors,5qRtu0bVNStywBkbWlF4TD,Extra Wide Rain - extra,Rain,Weather,59
0.134,0.668,6,-23.875,1,0.0566,0.0759,0.855,0.301,0.0302,87.783,145638,1,Livia Michaels,54gd3cuzXOLPgmj1BLIHmB,Soft Clappering Rain With Distant Storm,Rain,Weather,59
0.186,0.918,1,-19.888,0,0.059,0.461,0.95,0.345,0.02,109.014,147534,4,Zuni,3UGkG7AQidJX6tZs61sO15,Longing for rain,Rain,Weather,59
0.209,0.478,1,-30.603,1,0.0639,0.000179,0.91,0.394,0.0343,90.688,216000,4,Adam Storme,24lHr1XxXOxfaHkF7ZR5Zc,Rain Coming Down,Rain,Weather,59
0.157,0.641,5,-24.415,1,0.0557,0.00629,0.931,0.667,0.0375,89.639,128546,4,Climate Hive,3Gp2W5Po1dSh0oMTxA8LGX,"Calm Rain, Thunder",Rain,Weather,59
0.241,0.897,0,-17.103,1,0.0715,0.000205,0.964,0.525,0.00917,52.035,129289,4,Hi-Def FX,69VKaaJc2F7oRttcg6tTC7,Orage et pluie,Rain,Weather,59
0.089,0.81,7,-24.036,0,0.0489,0.173,0.748,0.394,0.0283,69.822,182000,3,Nature Calm,2UV2qxZcBoinEC0Ko6C93X,Light Outdoors Rain With Thunder,Rain,Weather,59
0.16,0.62,10,-25.337,0,0.0639,8.08e-05,0.94,0.606,0.0287,129.976,208000,5,Polar Night,5BAUdZVp4CLDp7BRE6W5Mr,Ice of Rain,Rain,Weather,59
0.151,0.788,1,-25.0,1,0.0696,0.0018,0.909,0.383,0.0234,135.907,216000,3,Salvo,4JLJG5dgymA545MS4u95bZ,Storming For Days,Rain,Weather,59
0.186,0.438,7,-21.501,1,0.0605,6.33e-05,0.908,0.419,0.0211,76.202,141333,4,Pacifica Norte,3KSWMixsyBC6J4jjrZ3oMu,Trueno distante,Rain,Weather,59
